_id,name,slug,description,price,currency,stock,weight,category,imageUrls,isActive,isDeleted,brand,createdBy,reviews,averageRating,ratingCount,specification,keyFeatures,offerPrice,colorOptions,attributes,variants,hasVariants,createdAt,updatedAt
2ffb7366da2d471d7bb28db8,Attor Classic Oxford Shirt,attor-classic-oxford-shirt,Breathable cotton. Wrinkle-resistant. Versatile.,2499,bdt,50,0.35,c36d776fe45f91e038d54f9c,[],true,false,1db291799dde4f15a714cf5f,e63ee603c66c64bfc0a2cefd,"[""9ec7b23701fcd9a9907883e8""]",5,1,"[{""key"":""Fabric"",""value"":""100% Cotton Oxford""},{""key"":""Fit"",""value"":""Regular""},{""key"":""Sleeve"",""value"":""Full""},{""key"":""Care"",""value"":""Machine wash cold""}]","[""Breathable cotton"",""Wrinkle-resistant"",""Versatile""]",,"[{""name"":""White"",""hex"":""#ffffff""}]",[],[],false,2026-01-10T10:00:00.000Z,2026-08-15T16:45:41.214Z
66fc100fe77aa22f6efb020a,Denim Co. Slim Fit Jeans,denim-co-slim-fit-jeans,Stretch denim. Classic 5-pocket. Durable.,3299,bdt,40,0.65,6eb77829deaf1df603af3bc5,[],true,false,86bf5b38f6dc644d0c6533a8,e63ee603c66c64bfc0a2cefd,"[""c4a1c76311f4dc67011d773c"",""844d893a8662de76f8c24366"",""52537744a0aa3a97ce6891e3"",""f35b1417954db45eb7ecf7af""]",5,4,"[{""key"":""Fabric"",""value"":""98% Cotton, 2% Elastane""},{""key"":""Fit"",""value"":""Slim""},{""key"":""Wash"",""value"":""Mid-blue""},{""key"":""Care"",""value"":""Machine wash""}]","[""Stretch denim"",""Classic 5-pocket"",""Durable""]",,"[{""name"":""Mid Blue"",""hex"":""#4a5d8a""}]",[],[],false,2026-01-11T10:00:00.000Z,2026-08-15T16:45:41.214Z
c1ae75de7f24aa9dd86a388f,Aristo Slim Fit Blazer,aristo-slim-fit-blazer,Sharp lapels. Structured. Formal staple.,6999,bdt,20,0.9,9bb35c41b115b0fdf9353466,[],true,false,8c3953216fc604a76674e465,e63ee603c66c64bfc0a2cefd,"[""d6914fd6f317e5286a1f22da"",""acb370db06ba8c4e48a871eb"",""3af52c630ea92e655217037a"",""4dc185cae9579fe98b5adb64"",""98722e7f169e90c693a4e012"",""b11c0b118e099c0df22d3f13"",""cc43c88d15bf2eb36f488944""]",4.3,7,"[{""key"":""Fabric"",""value"":""65% Polyester, 35% Viscose""},{""key"":""Fit"",""value"":""Slim""},{""key"":""Lining"",""value"":""Full""},{""key"":""Care"",""value"":""Dry clean only""}]","[""Sharp lapels"",""Structured"",""Formal staple""]",,"[{""name"":""Charcoal"",""hex"":""#36454f""}]",[],[],false,2026-01-12T10:00:00.000Z,2026-08-15T16:45:41.214Z
16c48734f368f1e73391125e,Loom Organic Cotton Tee,loom-organic-cotton-tee,Eco-friendly. Soft hand-feel. Everyday basic.,999,bdt,80,0.18,6eb77829deaf1df603af3bc5,[],true,false,6a6e242e88c54e78f76382de,e63ee603c66c64bfc0a2cefd,"[""a00e145599e714ab743b0e62"",""6980a043ec711dded7471a83""]",5,2,"[{""key"":""Fabric"",""value"":""100% Organic Cotton""},{""key"":""Fit"",""value"":""Relaxed""},{""key"":""Weight"",""value"":""180 GSM""},{""key"":""Care"",""value"":""Machine wash""}]","[""Eco-friendly"",""Soft hand-feel"",""Everyday basic""]",,"[{""name"":""Off White"",""hex"":""#faf5e8""}]",[],[],false,2026-01-13T10:00:00.000Z,2026-08-15T16:45:41.214Z
7fb8737a3b0b1828a23997ba,Urban Threads Bomber Jacket,urban-threads-bomber-jacket,Streetwear look. Quilted. Ribbed cuffs.,4999,bdt,25,0.8,c4b1961a4f14afecadbde9e7,[],true,false,18d49092a9d29832fba41fe9,e63ee603c66c64bfc0a2cefd,"[""b536ab33953febc0d3049fa6"",""673b79d7ef63f471c841845d"",""4a6519be353f94cc0067b5a2"",""b2b94e7be6a520348b446a01"",""65e54e17939db1cf273a4ad4""]",4,5,"[{""key"":""Fabric"",""value"":""Satin shell, quilted lining""},{""key"":""Fit"",""value"":""Regular""},{""key"":""Closure"",""value"":""Zip""},{""key"":""Care"",""value"":""Machine wash""}]","[""Streetwear look"",""Quilted"",""Ribbed cuffs""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""}]",[],[],false,2026-01-14T10:00:00.000Z,2026-08-15T16:45:41.214Z
ff65f04e43e1350dcf6c3a66,Attor Cotton Crewneck Sweatshirt,attor-cotton-crewneck-sweatshirt,Heavyweight. Fleece-lined. Unisex.,1999,bdt,0,0.5,6eb77829deaf1df603af3bc5,[],true,false,1db291799dde4f15a714cf5f,e63ee603c66c64bfc0a2cefd,"[""1fa0991db8e2de1e6deb7c98"",""805bd6877d2779ee556efcfe"",""564191712fa70cd50ee8654c"",""130f87e81c1122a1340f88c9"",""4b5615eae4ea8bfd8701ee0c"",""39b27de9685f6b736472331f"",""43081c9982d939a1488f473a"",""756277c88bc8e5963ba36045""]",4,8,"[{""key"":""Fabric"",""value"":""80% Cotton, 20% Polyester""},{""key"":""Fit"",""value"":""Regular""},{""key"":""Weight"",""value"":""320 GSM""}]","[""Heavyweight"",""Fleece-lined"",""Unisex""]",,"[{""name"":""Heather Gray"",""hex"":""#9c9c9c""},{""name"":""Navy"",""hex"":""#1f3050""},{""name"":""Black"",""hex"":""#1a1a1a""}]","[{""key"":""Size"",""values"":[""S"",""M"",""L"",""XL""]},{""key"":""Color"",""values"":[""Heather Gray"",""Navy"",""Black""]}]","[{""sku"":""ATTORCOT-M-HEATHE-T55XNX"",""attributes"":{""Size"":""M"",""Color"":""Heather Gray""},""price"":1999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORCOT-L-HEATHE-KC6HUV"",""attributes"":{""Size"":""L"",""Color"":""Heather Gray""},""price"":1999,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORCOT-M-NAVY-TGFUTE"",""attributes"":{""Size"":""M"",""Color"":""Navy""},""price"":1999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORCOT-XL-BLACK-AUCNVQ"",""attributes"":{""Size"":""XL"",""Color"":""Black""},""price"":1999,""stock"":10,""imageUrls"":[],""isActive"":true}]",true,2026-01-15T10:00:00.000Z,2026-08-15T16:45:41.214Z
a249e6086881a1a4c714b54a,Denim Co. Classic Straight Jeans,denim-co-classic-straight-jeans,Raw denim feel. Straight leg. Timeless.,2999,bdt,0,0.68,6eb77829deaf1df603af3bc5,[],true,false,86bf5b38f6dc644d0c6533a8,e63ee603c66c64bfc0a2cefd,"[""ba4c63a0177815b30f846570"",""da4e57c907c1a4daab8e2418"",""ebfb77344f2e743683c7c2b7""]",3.7,3,"[{""key"":""Fabric"",""value"":""100% Cotton Denim""},{""key"":""Fit"",""value"":""Straight""},{""key"":""Wash"",""value"":""Dark indigo""}]","[""Raw denim feel"",""Straight leg"",""Timeless""]","{""type"":""percentage"",""value"":10,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Dark Indigo"",""hex"":""#312a5e""},{""name"":""Black"",""hex"":""#1a1a1a""}]","[{""key"":""Waist"",""values"":[""30"",""32"",""34"",""36""]},{""key"":""Color"",""values"":[""Dark Indigo"",""Black""]}]","[{""sku"":""DENIMCOC-32-DARKIN-N7K22J"",""attributes"":{""Waist"":""32"",""Color"":""Dark Indigo""},""price"":2999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""DENIMCOC-34-DARKIN-HAPV25"",""attributes"":{""Waist"":""34"",""Color"":""Dark Indigo""},""price"":2999,""stock"":14,""imageUrls"":[],""isActive"":true},{""sku"":""DENIMCOC-32-BLACK-QL3C5K"",""attributes"":{""Waist"":""32"",""Color"":""Black""},""price"":2999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""DENIMCOC-36-BLACK-SDMY6J"",""attributes"":{""Waist"":""36"",""Color"":""Black""},""price"":2999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-01-16T10:00:00.000Z,2026-08-15T16:45:41.215Z
1b58bfe2589b6ee1ebf213c7,Attor Tailored Chinos,attor-tailored-chinos,Stretch twill. Smart-casual. Tapered leg.,2799,bdt,0,0.45,c36d776fe45f91e038d54f9c,[],true,false,1db291799dde4f15a714cf5f,e63ee603c66c64bfc0a2cefd,"[""1cad1867630587490993665f"",""2005dcaac231d1d0638efda5"",""47181fb3f74062ff4b8e64cb"",""3da3af52a51f18bdd33ee2c0"",""f6f59edc3fea6c03b00cd2b9"",""4df96d8ec22e55086ec71685""]",4,6,"[{""key"":""Fabric"",""value"":""98% Cotton, 2% Elastane""},{""key"":""Fit"",""value"":""Tailored""},{""key"":""Rise"",""value"":""Mid""}]","[""Stretch twill"",""Smart-casual"",""Tapered leg""]",,"[{""name"":""Khaki"",""hex"":""#c3b091""},{""name"":""Olive"",""hex"":""#556b2f""},{""name"":""Navy"",""hex"":""#1f3050""}]","[{""key"":""Waist"",""values"":[""30"",""32"",""34"",""36""]},{""key"":""Color"",""values"":[""Khaki"",""Olive"",""Navy""]}]","[{""sku"":""ATTORTAI-32-KHAKI-MJJJXU"",""attributes"":{""Waist"":""32"",""Color"":""Khaki""},""price"":2799,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORTAI-34-KHAKI-EDV5NH"",""attributes"":{""Waist"":""34"",""Color"":""Khaki""},""price"":2799,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORTAI-32-OLIVE-NBGKDY"",""attributes"":{""Waist"":""32"",""Color"":""Olive""},""price"":2799,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORTAI-34-NAVY-WJMYMV"",""attributes"":{""Waist"":""34"",""Color"":""Navy""},""price"":2799,""stock"":10,""imageUrls"":[],""isActive"":true}]",true,2026-02-10T10:00:00.000Z,2026-08-15T16:45:41.215Z
e290f8596d3a2569a38de124,Urban Threads Graphic Hoodie,urban-threads-graphic-hoodie,Bold print. Oversized fit. Kangaroo pocket.,2299,bdt,0,0.6,6eb77829deaf1df603af3bc5,[],true,false,18d49092a9d29832fba41fe9,e63ee603c66c64bfc0a2cefd,"[""3c2e9cb8704fe4dbcc698799""]",3,1,"[{""key"":""Fabric"",""value"":""70% Cotton, 30% Polyester""},{""key"":""Fit"",""value"":""Oversized""},{""key"":""Weight"",""value"":""340 GSM""}]","[""Bold print"",""Oversized fit"",""Kangaroo pocket""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""},{""name"":""White"",""hex"":""#ffffff""}]","[{""key"":""Size"",""values"":[""S"",""M"",""L"",""XL""]},{""key"":""Color"",""values"":[""Black"",""White""]}]","[{""sku"":""URBANTHR-M-BLACK-7LXS68"",""attributes"":{""Size"":""M"",""Color"":""Black""},""price"":2299,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""URBANTHR-L-BLACK-YFW8W2"",""attributes"":{""Size"":""L"",""Color"":""Black""},""price"":2299,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""URBANTHR-M-WHITE-WHF6KE"",""attributes"":{""Size"":""M"",""Color"":""White""},""price"":2299,""stock"":14,""imageUrls"":[],""isActive"":true},{""sku"":""URBANTHR-XL-BLACK-6TKDSZ"",""attributes"":{""Size"":""XL"",""Color"":""Black""},""price"":2299,""stock"":10,""imageUrls"":[],""isActive"":true}]",true,2026-02-11T10:00:00.000Z,2026-08-15T16:45:41.215Z
2052b5e1a2aaad358a67e5d5,Aristo Two-Piece Suit,aristo-two-piece-suit,Wool blend. Full canvas. Wedding-ready.,12999,bdt,0,2.2,9bb35c41b115b0fdf9353466,[],true,false,8c3953216fc604a76674e465,e63ee603c66c64bfc0a2cefd,"[""c97ac8e844fdc2e8f4f85683"",""35791e48b96ffba11c6c0d7f"",""64cd6e6b2c962fbb316dcc82"",""804f9e27d242113fae211a0b""]",4.3,4,"[{""key"":""Fabric"",""value"":""Wool Blend""},{""key"":""Fit"",""value"":""Slim""},{""key"":""Includes"",""value"":""Jacket + Trousers""}]","[""Wool blend"",""Full canvas"",""Wedding-ready""]",,"[{""name"":""Navy"",""hex"":""#1f3050""},{""name"":""Charcoal"",""hex"":""#36454f""}]","[{""key"":""Size"",""values"":[""38R"",""40R"",""42R""]},{""key"":""Color"",""values"":[""Navy"",""Charcoal""]}]","[{""sku"":""ARISTOTW-40R-NAVY-PZXV9M"",""attributes"":{""Size"":""40R"",""Color"":""Navy""},""price"":12999,""stock"":6,""imageUrls"":[],""isActive"":true},{""sku"":""ARISTOTW-40R-CHARCO-PNJJQG"",""attributes"":{""Size"":""40R"",""Color"":""Charcoal""},""price"":12999,""stock"":5,""imageUrls"":[],""isActive"":true},{""sku"":""ARISTOTW-42R-NAVY-G6AJX9"",""attributes"":{""Size"":""42R"",""Color"":""Navy""},""price"":12999,""stock"":4,""imageUrls"":[],""isActive"":true},{""sku"":""ARISTOTW-38R-CHARCO-L4XRTJ"",""attributes"":{""Size"":""38R"",""Color"":""Charcoal""},""price"":12999,""stock"":3,""imageUrls"":[],""isActive"":true}]",true,2026-02-12T10:00:00.000Z,2026-08-15T16:45:41.215Z
