_id,name,slug,description,price,currency,stock,weight,category,imageUrls,isActive,isDeleted,brand,createdBy,reviews,averageRating,ratingCount,specification,keyFeatures,offerPrice,colorOptions,attributes,variants,hasVariants,createdAt,updatedAt
8c6f8b82b832708dc408992a,Lumière Vitamin C Serum,lumi-re-vitamin-c-serum,Brightening. Antioxidant. Vegan.,1899,bdt,60,0.05,a807312927c4324a073a03e2,[],true,false,2aadfbf587a9e850ff169ba7,5a5b2bf437407174290fc440,"[""251120434de5582e682f0c95""]",5,1,"[{""key"":""Key"",""value"":""15% Vitamin C""},{""key"":""Volume"",""value"":""30ml""},{""key"":""Skin Type"",""value"":""All""},{""key"":""Use"",""value"":""AM, before moisturizer""}]","[""Brightening"",""Antioxidant"",""Vegan""]",,"[{""name"":""Clear"",""hex"":""#f8f4e3""}]",[],[],false,2026-01-10T10:00:00.000Z,2026-08-15T16:45:41.275Z
604fed487403ad4e9b24f6d8,Maybelline Superstay Matte Ink,maybelline-superstay-matte-ink,16h wear. Transfer-proof. Comfortable.,1099,bdt,80,0.012,e2e25d850a805a7c4f233991,[],true,false,92ab2123bc77ae47e422ba1b,5a5b2bf437407174290fc440,"[""7e7b2c1bc3810999fd8208ce"",""0b885f638c94706e209a6c8b"",""9a19ed8687f9c7e8595f28c2"",""550cd523b4061ce81060cc98""]",5,4,"[{""key"":""Type"",""value"":""Liquid Lipstick""},{""key"":""Volume"",""value"":""5ml""},{""key"":""Finish"",""value"":""Matte""},{""key"":""Wear"",""value"":""16 hours""}]","[""16h wear"",""Transfer-proof"",""Comfortable""]",,"[{""name"":""Lover"",""hex"":""#c2185b""}]",[],[],false,2026-01-11T10:00:00.000Z,2026-08-15T16:45:41.275Z
308c1410a637612ac4a12ac1,L'Oréal Paris Revitalift Night Cream,l-or-al-paris-revitalift-night-cream,Anti-aging. Retinol. Restores.,2199,bdt,10,0.1,a807312927c4324a073a03e2,[],true,false,670ac42dd4da4cf257822d54,5a5b2bf437407174290fc440,"[""e5b77e713a7d61543bef9436"",""ad6a091f3b94a7c3a487c551"",""6508fd5032e90ea80a1b2800"",""5c2e17620329822780831ce9"",""1159089ed737972448d2bda8"",""edd4bf2b9b5a74f544da8cec"",""fdd0b0fadfc3cdfcc638dac1""]",4.3,7,"[{""key"":""Key"",""value"":""Retinol + B3""},{""key"":""Volume"",""value"":""50ml""},{""key"":""Skin Type"",""value"":""Mature""},{""key"":""Use"",""value"":""PM""}]","[""Anti-aging"",""Retinol"",""Restores""]",,"[{""name"":""White"",""hex"":""#ffffff""}]",[],[],false,2026-01-12T10:00:00.000Z,2026-08-15T16:45:41.275Z
fcb14d784df56d3bbc7e8003,The Face Shop Rice Water Bright Cleanser,the-face-shop-rice-water-bright-cleanser,Gentle. Brightening. K-beauty.,1299,bdt,10,0.15,a807312927c4324a073a03e2,[],true,false,12e4ec94e14d8061132a4d5d,5a5b2bf437407174290fc440,"[""63dbd51f7e9d84d2bf60e370"",""8d7bee780dbce30a8b55e2dd""]",5,2,"[{""key"":""Key"",""value"":""Rice Water""},{""key"":""Volume"",""value"":""150ml""},{""key"":""Skin Type"",""value"":""All""},{""key"":""Use"",""value"":""AM + PM""}]","[""Gentle"",""Brightening"",""K-beauty""]",,"[{""name"":""Rice White"",""hex"":""#f5f0e6""}]",[],[],false,2026-01-13T10:00:00.000Z,2026-08-15T16:45:41.275Z
73174ef36f5200c74be334b4,Revlon Super Lustrous Lipstick,revlon-super-lustrous-lipstick,Moisturizing. Classic. High shine.,999,bdt,10,0.008,e2e25d850a805a7c4f233991,[],true,false,6f88093d8bbe105e84754431,5a5b2bf437407174290fc440,"[""bd4915953eca6943abe8b5bf"",""be759f12398be33fd9116fbc"",""911d2d5c2bbff4c9f17e4726"",""72b363df8d2adfa2ff942bdb"",""823369f3ff528fb104661bbf""]",4,5,"[{""key"":""Type"",""value"":""Cream Lipstick""},{""key"":""Volume"",""value"":""4.2g""},{""key"":""Finish"",""value"":""Cream""},{""key"":""Shade"",""value"":""Cherry Blossom""}]","[""Moisturizing"",""Classic"",""High shine""]",,"[{""name"":""Cherry Blossom"",""hex"":""#ffb7c5""}]",[],[],false,2026-01-14T10:00:00.000Z,2026-08-15T16:45:41.275Z
8aaf81a9d24d159235683696,Lumière Hydra Glow Serum,lumi-re-hydra-glow-serum,Deep hydration. Plumping. Lightweight.,1599,bdt,0,0.05,a807312927c4324a073a03e2,[],true,false,2aadfbf587a9e850ff169ba7,5a5b2bf437407174290fc440,"[""4ea66549f4e77e99f293955b"",""a4be9e2bfb197825b044ea0c"",""05c3f3d095fa1d5dbbb822e9"",""1cd440f6c1219b37ec97e196"",""d3c9bbeaa50fdf26be8159f1"",""f133a2dec3f9658301479597"",""6f9aa1ed2f6dd847b1e16670"",""d6114d019b9224e99b5c582f""]",4,8,"[{""key"":""Key"",""value"":""Hyaluronic Acid""},{""key"":""Volume"",""value"":""30ml""},{""key"":""Skin Type"",""value"":""Dry""}]","[""Deep hydration"",""Plumping"",""Lightweight""]",,"[{""name"":""Clear"",""hex"":""#eaf4f4""}]","[{""key"":""Volume"",""values"":[""15ml"",""30ml"",""50ml""]}]","[{""sku"":""LUMIREHY-15ML-MGVEQK"",""attributes"":{""Volume"":""15ml""},""price"":900,""stock"":30,""imageUrls"":[],""isActive"":true},{""sku"":""LUMIREHY-30ML-H6KEGU"",""attributes"":{""Volume"":""30ml""},""price"":1599,""stock"":25,""imageUrls"":[],""isActive"":true},{""sku"":""LUMIREHY-50ML-RPDTM8"",""attributes"":{""Volume"":""50ml""},""price"":2299,""stock"":15,""imageUrls"":[],""isActive"":true}]",true,2026-01-15T10:00:00.000Z,2026-08-15T16:45:41.275Z
8116d859bb925e904a73684b,Lumière Pure Cushion Foundation,lumi-re-pure-cushion-foundation,Dewy glow. SPF 50. Buildable.,1999,bdt,0,0.08,e2e25d850a805a7c4f233991,[],true,false,2aadfbf587a9e850ff169ba7,5a5b2bf437407174290fc440,"[""ba55a57069d46244856361ee"",""f3b04a4fdb39d70c8bf857ef"",""de91506c96960fa15e0523e8""]",3.7,3,"[{""key"":""Type"",""value"":""Cushion Foundation""},{""key"":""Volume"",""value"":""15g + refill""},{""key"":""Finish"",""value"":""Dewy""}]","[""Dewy glow"",""SPF 50"",""Buildable""]","{""type"":""percentage"",""value"":10,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Fair"",""hex"":""#ffe3d3""},{""name"":""Light"",""hex"":""#f2c9a8""},{""name"":""Medium"",""hex"":""#d9a475""}]","[{""key"":""Shade"",""values"":[""Fair"",""Light"",""Medium""]}]","[{""sku"":""LUMIREPU-FAIR-CAVHAF"",""attributes"":{""Shade"":""Fair""},""price"":1999,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""LUMIREPU-LIGHT-9SG44T"",""attributes"":{""Shade"":""Light""},""price"":1999,""stock"":22,""imageUrls"":[],""isActive"":true},{""sku"":""LUMIREPU-MEDIUM-XQ3XGE"",""attributes"":{""Shade"":""Medium""},""price"":1999,""stock"":15,""imageUrls"":[],""isActive"":true}]",true,2026-01-16T10:00:00.000Z,2026-08-15T16:45:41.276Z
460e60ea77968601c2a9dffa,Maybelline Fit Me Matte Foundation,maybelline-fit-me-matte-foundation,Poreless. Oil control. 12 shades.,899,bdt,0,0.03,e2e25d850a805a7c4f233991,[],true,false,92ab2123bc77ae47e422ba1b,5a5b2bf437407174290fc440,"[""6cf17613ebc43e43eb49ddd4"",""9873c990254a3a590d1dbb30"",""4046e5ca41ee1dc839f8e322"",""8afd41c21a3064609af314e1"",""648d7211f0d4f860e3280441"",""2ef028a57aee70a9e456cd8f""]",4,6,"[{""key"":""Type"",""value"":""Liquid Foundation""},{""key"":""Volume"",""value"":""30ml""},{""key"":""Finish"",""value"":""Matte""}]","[""Poreless"",""Oil control"",""12 shades""]",,"[{""name"":""Ivory"",""hex"":""#f7e2ce""},{""name"":""Sand"",""hex"":""#e0b184""},{""name"":""Golden"",""hex"":""#d19a5e""}]","[{""key"":""Shade"",""values"":[""Ivory"",""Sand"",""Golden""]}]","[{""sku"":""MAYBELLI-IVORY-87CLBM"",""attributes"":{""Shade"":""Ivory""},""price"":899,""stock"":40,""imageUrls"":[],""isActive"":true},{""sku"":""MAYBELLI-SAND-NRJ3NY"",""attributes"":{""Shade"":""Sand""},""price"":899,""stock"":35,""imageUrls"":[],""isActive"":true},{""sku"":""MAYBELLI-GOLDEN-SMR8YJ"",""attributes"":{""Shade"":""Golden""},""price"":899,""stock"":25,""imageUrls"":[],""isActive"":true}]",true,2026-02-10T10:00:00.000Z,2026-08-15T16:45:41.276Z
e1642a397464db79190ba468,Maybelline The Colossal Mascara,maybelline-the-colossal-mascara,9x volume. Smudge-proof. Washable.,799,bdt,0,0.02,e2e25d850a805a7c4f233991,[],true,false,92ab2123bc77ae47e422ba1b,5a5b2bf437407174290fc440,"[""47d071783d6e218b95ba95d9""]",3,1,"[{""key"":""Type"",""value"":""Mascara""},{""key"":""Volume"",""value"":""9.2ml""},{""key"":""Effect"",""value"":""Volume""}]","[""9x volume"",""Smudge-proof"",""Washable""]",,"[{""name"":""Blackest Black"",""hex"":""#111111""},{""name"":""Brownish Black"",""hex"":""#3a2e2a""}]","[{""key"":""Shade"",""values"":[""Blackest Black"",""Brownish Black""]}]","[{""sku"":""MAYBELLI-BLACKE-CHMU9K"",""attributes"":{""Shade"":""Blackest Black""},""price"":799,""stock"":50,""imageUrls"":[],""isActive"":true},{""sku"":""MAYBELLI-BROWNI-SDMJV4"",""attributes"":{""Shade"":""Brownish Black""},""price"":799,""stock"":30,""imageUrls"":[],""isActive"":true}]",true,2026-02-11T10:00:00.000Z,2026-08-15T16:45:41.276Z
5ad8db9e090237d277d29237,Maybelline New York Eyeshadow Palette,maybelline-new-york-eyeshadow-palette,12 shades. Blendable. Day to night.,1899,bdt,0,0.12,e2e25d850a805a7c4f233991,[],true,false,92ab2123bc77ae47e422ba1b,5a5b2bf437407174290fc440,"[""c73009310f43881850267014"",""ee4bdb4f9f92206c31006e6c"",""2323f22abf3ddcb4d92c409c"",""e926c51d5cee94e71faee874""]",4.3,4,"[{""key"":""Type"",""value"":""Eyeshadow Palette""},{""key"":""Shades"",""value"":""12""},{""key"":""Finish"",""value"":""Mixed""}]","[""12 shades"",""Blendable"",""Day to night""]",,"[{""name"":""The Nudes"",""hex"":""#c9a87c""}]","[{""key"":""Palette"",""values"":[""The Nudes"",""The Smokes"",""The Blushed""]}]","[{""sku"":""MAYBELLI-THENUD-TFNBLS"",""attributes"":{""Palette"":""The Nudes""},""price"":1899,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""MAYBELLI-THESMO-PLQAZC"",""attributes"":{""Palette"":""The Smokes""},""price"":1899,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""MAYBELLI-THEBLU-RLUSXS"",""attributes"":{""Palette"":""The Blushed""},""price"":1899,""stock"":14,""imageUrls"":[],""isActive"":true}]",true,2026-02-12T10:00:00.000Z,2026-08-15T16:45:41.276Z
