_id,name,slug,description,price,currency,stock,weight,category,imageUrls,isActive,isDeleted,brand,createdBy,reviews,averageRating,ratingCount,specification,keyFeatures,offerPrice,colorOptions,attributes,variants,hasVariants,createdAt,updatedAt
00c82f6f92d82c883fb70eb5,Apple iPhone 15 128GB,apple-iphone-15-128gb,Dynamic Island. USB-C. 48MP main camera.,89999,bdt,25,0.171,94248725814cc4936439c7ba,[],true,false,e2def2d4f7001e0f15883679,56bfefe8c01343573320999b,"[""f48639b7b0231af303d01906""]",5,1,"[{""key"":""Display"",""value"":""6.1\"" Super Retina XDR OLED""},{""key"":""Chipset"",""value"":""Apple A16 Bionic""},{""key"":""Camera"",""value"":""48MP + 12MP dual rear""},{""key"":""Battery"",""value"":""3349 mAh""},{""key"":""Storage"",""value"":""128GB""}]","[""Dynamic Island"",""USB-C"",""48MP main camera""]",,"[{""name"":""Black"",""hex"":""#1d1d1f""},{""name"":""Blue"",""hex"":""#a7c1d9""}]",[],[],false,2026-01-10T10:00:00.000Z,2026-08-15T16:45:41.166Z
f0735df9bb34a5c9d7163369,Samsung Galaxy A54 5G,samsung-galaxy-a54-5g,120Hz AMOLED. OIS camera. 5000mAh battery.,44999,bdt,40,0.202,94248725814cc4936439c7ba,[],true,false,4dfb472f98c421de247801b3,56bfefe8c01343573320999b,"[""476435035af0d94f4903c356"",""41927451b739890fe62ef139"",""a9abe47eebae08351783148d"",""bdc3a8eb6f22cf51dd94a0a1""]",5,4,"[{""key"":""Display"",""value"":""6.4\"" Super AMOLED 120Hz""},{""key"":""Chipset"",""value"":""Exynos 1380""},{""key"":""Camera"",""value"":""50MP OIS + 12MP ultrawide""},{""key"":""Battery"",""value"":""5000 mAh""},{""key"":""Storage"",""value"":""128GB""}]","[""120Hz AMOLED"",""OIS camera"",""5000mAh battery""]",,"[{""name"":""Graphite"",""hex"":""#3f4043""},{""name"":""White"",""hex"":""#f2f3f5""}]",[],[],false,2026-01-11T10:00:00.000Z,2026-08-15T16:45:41.166Z
c77a6cf5138fce720d171125,Apple iPad (10th Gen) Wi-Fi 64GB,apple-ipad-10th-gen-wi-fi-64gb,USB-C. Apple Pencil support. Landscape camera.,54999,bdt,15,0.477,37fff4427a374411726b6f92,[],true,false,e2def2d4f7001e0f15883679,56bfefe8c01343573320999b,"[""5cd57db5513ce0ee1081c4ba"",""4903cb81ffb6a3b7cd23db00"",""4f446805c3cdcb5a5b2e4075"",""bb535f4e2f5f4e7ba7ab8df1"",""8b9901d287f24b82ad9d99ac"",""17bfc64913602c7ebe67d521"",""fdd6fd47b577039282718f94""]",4.3,7,"[{""key"":""Display"",""value"":""10.9\"" Liquid Retina""},{""key"":""Chipset"",""value"":""Apple A14 Bionic""},{""key"":""Camera"",""value"":""12MP front + 12MP rear""},{""key"":""Battery"",""value"":""Up to 10h video""},{""key"":""Storage"",""value"":""64GB""}]","[""USB-C"",""Apple Pencil support"",""Landscape camera""]",,"[{""name"":""Silver"",""hex"":""#e3e4e6""},{""name"":""Blue"",""hex"":""#5b8dd9""}]",[],[],false,2026-01-12T10:00:00.000Z,2026-08-15T16:45:41.166Z
7a175341c438ab6a7e0dbf91,Samsung Galaxy Buds2 Pro,samsung-galaxy-buds2-pro,ANC. IPX7. 360 Audio.,18999,bdt,60,0.043,127881964a63721fbfced0de,[],true,false,4dfb472f98c421de247801b3,56bfefe8c01343573320999b,"[""b7e643c4045a2030dd8d1f68"",""6e9d4d037efd937674b3d833""]",5,2,"[{""key"":""Type"",""value"":""TWS ANC earbuds""},{""key"":""Audio"",""value"":""24-bit Hi-Fi""},{""key"":""Battery"",""value"":""5h + 18h case""},{""key"":""Waterproof"",""value"":""IPX7""}]","[""ANC"",""IPX7"",""360 Audio""]",,"[{""name"":""Graphite"",""hex"":""#4b4b4f""},{""name"":""White"",""hex"":""#f5f5f7""}]",[],[],false,2026-01-13T10:00:00.000Z,2026-08-15T16:45:41.166Z
8e26e8973b015b102ba88a7d,Samsung Galaxy Watch6 40mm,samsung-galaxy-watch6-40mm,ECG. Sleep coaching. 5ATM.,27999,bdt,30,0.029,30952590400c2edb145cd7fc,[],true,false,4dfb472f98c421de247801b3,56bfefe8c01343573320999b,"[""d99cda97b7ff3dea588f0853"",""3ff98bc4d9b51e07211b2656"",""b97ea107b9e5a15498d2b8d9"",""66bd0e7eae33644e1edc31cf"",""2aff8892e03fe6b8d6b47287""]",4,5,"[{""key"":""Display"",""value"":""1.31\"" AMOLED""},{""key"":""Health"",""value"":""ECG, HR, Sleep, SpO2""},{""key"":""Battery"",""value"":""300 mAh""},{""key"":""Waterproof"",""value"":""5ATM + IP68""}]","[""ECG"",""Sleep coaching"",""5ATM""]",,"[{""name"":""Graphite"",""hex"":""#3c3c40""},{""name"":""Cream"",""hex"":""#f3ead7""}]",[],[],false,2026-01-14T10:00:00.000Z,2026-08-15T16:45:41.166Z
78e22b9c17f8cb2934769a1f,Apple iPhone 15 Pro,apple-iphone-15-pro,Titanium frame. A17 Pro. Action button.,149999,bdt,0,0.187,94248725814cc4936439c7ba,[],true,false,e2def2d4f7001e0f15883679,56bfefe8c01343573320999b,"[""5a8212497c4cbb22bd40c694"",""ce1f7e648a934f883ee4b920"",""427f921cfabfbe45ec71c451"",""ffa24911b25a48ea892c0b98"",""1b2dbd78fcf7e7faab17bc80"",""0b6e30c68c8af0849f909a17"",""2c2cb0af240d644c47f936ef"",""0125988ae98120cc1084a5c9""]",4,8,"[{""key"":""Display"",""value"":""6.1\"" Super Retina XDR ProMotion""},{""key"":""Chipset"",""value"":""Apple A17 Pro""},{""key"":""Camera"",""value"":""48MP Pro + 12MP 3x tele""},{""key"":""Battery"",""value"":""3274 mAh""}]","[""Titanium frame"",""A17 Pro"",""Action button""]","{""type"":""percentage"",""value"":5,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Natural Titanium"",""hex"":""#b9b4ad""},{""name"":""Blue Titanium"",""hex"":""#5c6f8f""},{""name"":""White Titanium"",""hex"":""#e8e8e6""}]","[{""key"":""Storage"",""values"":[""256GB"",""512GB"",""1TB""]}]","[{""sku"":""APPLEIPH-NATURA-256GB-37KAFF"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""256GB""},""price"":149999,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-NATURA-512GB-SYR8XW"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""512GB""},""price"":169999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-NATURA-1TB-DZH95M"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""1TB""},""price"":199999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-BLUETI-256GB-ZYQU5C"",""attributes"":{""Color"":""Blue Titanium"",""Storage"":""256GB""},""price"":149999,""stock"":3,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-WHITET-256GB-APXN76"",""attributes"":{""Color"":""White Titanium"",""Storage"":""256GB""},""price"":149999,""stock"":2,""imageUrls"":[],""isActive"":true}]",true,2026-01-15T10:00:00.000Z,2026-08-15T16:45:41.167Z
941d17d91df171d6df8b7450,Apple iPhone 15 Pro Max,apple-iphone-15-pro-max,5x telephoto. Titanium. USB-C 3.0.,169999,bdt,0,0.221,94248725814cc4936439c7ba,[],true,false,e2def2d4f7001e0f15883679,56bfefe8c01343573320999b,"[""27d3209c058e1d7c084325df"",""1eb8701566d66c42a46b8da5"",""78484186ed2fde4fcdd27f24""]",3.7,3,"[{""key"":""Display"",""value"":""6.7\"" Super Retina XDR ProMotion""},{""key"":""Chipset"",""value"":""Apple A17 Pro""},{""key"":""Camera"",""value"":""48MP + 5x telephoto""},{""key"":""Battery"",""value"":""4441 mAh""}]","[""5x telephoto"",""Titanium"",""USB-C 3.0""]","{""type"":""percentage"",""value"":5,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Natural Titanium"",""hex"":""#b9b4ad""},{""name"":""Black Titanium"",""hex"":""#3a3a3c""}]","[{""key"":""Storage"",""values"":[""256GB"",""512GB"",""1TB""]}]","[{""sku"":""APPLEIPH-NATURA-256GB-QLUKMU"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""256GB""},""price"":169999,""stock"":25,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-NATURA-512GB-BXB7W6"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""512GB""},""price"":189999,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-NATURA-1TB-WA9KHW"",""attributes"":{""Color"":""Natural Titanium"",""Storage"":""1TB""},""price"":219999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""APPLEIPH-BLACKT-256GB-4ZJEE3"",""attributes"":{""Color"":""Black Titanium"",""Storage"":""256GB""},""price"":169999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-01-16T10:00:00.000Z,2026-08-15T16:45:41.167Z
47115fccc2aea5f4f603a00b,Samsung Galaxy S24 Ultra,samsung-galaxy-s24-ultra,Galaxy AI. 200MP camera. S Pen.,189999,bdt,0,0.232,94248725814cc4936439c7ba,[],true,false,4dfb472f98c421de247801b3,56bfefe8c01343573320999b,"[""e3cc59f2402441793f31a018"",""7731005eb8bbf9708aa94457"",""2ce6bc5b370f8b57b3fe6ba3"",""ca28f297fbbc1dc8ea85fc7e"",""656fe21c9c0ccb89c8bd53a0"",""3c11e41fadcb7cbe2eacf638""]",4,6,"[{""key"":""Display"",""value"":""6.8\"" QHD+ AMOLED 120Hz""},{""key"":""Chipset"",""value"":""Snapdragon 8 Gen 3""},{""key"":""Camera"",""value"":""200MP + 50MP 5x periscope""},{""key"":""Battery"",""value"":""5000 mAh""}]","[""Galaxy AI"",""200MP camera"",""S Pen""]",,"[{""name"":""Titanium Gray"",""hex"":""#a8a8a6""},{""name"":""Titanium Black"",""hex"":""#3b3b3d""},{""name"":""Titanium Violet"",""hex"":""#6a5acd""}]","[{""key"":""Storage"",""values"":[""256GB"",""512GB""]}]","[{""sku"":""SAMSUNGG-TITANI-256GB-GVTQF6"",""attributes"":{""Color"":""Titanium Gray"",""Storage"":""256GB""},""price"":189999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-TITANI-512GB-8TWAZ6"",""attributes"":{""Color"":""Titanium Gray"",""Storage"":""512GB""},""price"":209999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-TITANI-256GB-QPTDBY"",""attributes"":{""Color"":""Titanium Black"",""Storage"":""256GB""},""price"":189999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-TITANI-256GB-6VYWXU"",""attributes"":{""Color"":""Titanium Violet"",""Storage"":""256GB""},""price"":189999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-02-10T10:00:00.000Z,2026-08-15T16:45:41.167Z
3ccfb9e621b2c89183d08b36,Samsung Galaxy S24,samsung-galaxy-s24,Galaxy AI. Compact. 120Hz.,119999,bdt,0,0.167,94248725814cc4936439c7ba,[],true,false,4dfb472f98c421de247801b3,56bfefe8c01343573320999b,"[""672294c917caa4b360185f50""]",3,1,"[{""key"":""Display"",""value"":""6.2\"" AMOLED 120Hz""},{""key"":""Chipset"",""value"":""Exynos 2400""},{""key"":""Camera"",""value"":""50MP + 12MP ultrawide""},{""key"":""Battery"",""value"":""4000 mAh""}]","[""Galaxy AI"",""Compact"",""120Hz""]",,"[{""name"":""Onyx Black"",""hex"":""#2c2c2e""},{""name"":""Marble Gray"",""hex"":""#d6d3cf""},{""name"":""Cobalt Violet"",""hex"":""#7d6b9e""}]","[{""key"":""Storage"",""values"":[""128GB"",""256GB""]}]","[{""sku"":""SAMSUNGG-ONYXBL-128GB-3HBWTG"",""attributes"":{""Color"":""Onyx Black"",""Storage"":""128GB""},""price"":119999,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-ONYXBL-256GB-6SZBTQ"",""attributes"":{""Color"":""Onyx Black"",""Storage"":""256GB""},""price"":129999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-MARBLE-256GB-RQ68AF"",""attributes"":{""Color"":""Marble Gray"",""Storage"":""256GB""},""price"":129999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""SAMSUNGG-COBALT-256GB-ZZASVF"",""attributes"":{""Color"":""Cobalt Violet"",""Storage"":""256GB""},""price"":129999,""stock"":10,""imageUrls"":[],""isActive"":true}]",true,2026-02-11T10:00:00.000Z,2026-08-15T16:45:41.168Z
e26945dc940cceab4ce4bd0e,Vivo X100 Pro,vivo-x100-pro,ZEISS APO telephoto. 1-inch sensor. 120W charging.,139999,bdt,0,0.221,94248725814cc4936439c7ba,[],true,false,be595310737b2a40564fa5a0,56bfefe8c01343573320999b,"[""bbba603f9575351cd1b4b11b"",""7ea5a0d0ae8b1438de20f5c4"",""50ea63bb28c39b58d6ffceed"",""19767d8d57cec939a2f76fe7""]",4.3,4,"[{""key"":""Display"",""value"":""6.78\"" AMOLED 120Hz""},{""key"":""Chipset"",""value"":""Dimensity 9300""},{""key"":""Camera"",""value"":""50MP ZEISS APO triple""},{""key"":""Battery"",""value"":""5400 mAh""}]","[""ZEISS APO telephoto"",""1-inch sensor"",""120W charging""]",,"[{""name"":""Startrail Blue"",""hex"":""#3b5c9e""},{""name"":""Titanium Grey"",""hex"":""#8d8d90""},{""name"":""White"",""hex"":""#f4f4f6""}]","[{""key"":""Storage"",""values"":[""256GB"",""512GB""]}]","[{""sku"":""VIVOX100-STARTR-256GB-BR8R7U"",""attributes"":{""Color"":""Startrail Blue"",""Storage"":""256GB""},""price"":139999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""VIVOX100-STARTR-512GB-P9MJ6C"",""attributes"":{""Color"":""Startrail Blue"",""Storage"":""512GB""},""price"":154999,""stock"":8,""imageUrls"":[],""isActive"":true},{""sku"":""VIVOX100-TITANI-256GB-JJVUH3"",""attributes"":{""Color"":""Titanium Grey"",""Storage"":""256GB""},""price"":139999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""VIVOX100-WHITE-256GB-QT4K93"",""attributes"":{""Color"":""White"",""Storage"":""256GB""},""price"":139999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-02-12T10:00:00.000Z,2026-08-15T16:45:41.168Z
