_id,name,slug,description,price,currency,stock,weight,category,imageUrls,isActive,isDeleted,brand,createdBy,reviews,averageRating,ratingCount,specification,keyFeatures,offerPrice,colorOptions,attributes,variants,hasVariants,createdAt,updatedAt
d4e5e77a0b6bea744d8f2a0e,Attor Royal Oud Attar,attor-royal-oud-attar,100% pure. No alcohol. Hand-poured.,4999,bdt,40,0.012,9712c026363b0a307c6f5580,[],true,false,bbeeafc3024ff48667c87a2a,fa466a8511f9c519f289bb23,"[""17582728f07cb9a6354562a3""]",5,1,"[{""key"":""Concentration"",""value"":""100% Pure Attar""},{""key"":""Volume"",""value"":""12ml""},{""key"":""Notes"",""value"":""Agarwood, Rose, Amber""},{""key"":""Longevity"",""value"":""10+ hours""}]","[""100% pure"",""No alcohol"",""Hand-poured""]",,"[{""name"":""Amber"",""hex"":""#c8932e""}]",[],[],false,2026-01-10T10:00:00.000Z,2026-08-15T16:45:41.184Z
633772710a4b979ac35e2025,Al Haramain Amber Oud Gold Edition,al-haramain-amber-oud-gold-edition,Rich amber. Unisex. Long-lasting.,6500,bdt,25,0.1,9712c026363b0a307c6f5580,[],true,false,13e9fb645b07c07308d38f63,fa466a8511f9c519f289bb23,"[""b0a850aaa2dcb27a7d6b10c7"",""0f89482ec7eb6d2a1e82a3e1"",""d43b41bb1ded4f7c3e393c17"",""ea8b7a4f26cc378a28ec17bd""]",5,4,"[{""key"":""Type"",""value"":""Eau de Parfum Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Oud, Amber, Saffron""},{""key"":""Longevity"",""value"":""12+ hours""}]","[""Rich amber"",""Unisex"",""Long-lasting""]",,"[{""name"":""Gold"",""hex"":""#d4af37""}]",[],[],false,2026-01-11T10:00:00.000Z,2026-08-15T16:45:41.184Z
6b3154c2fdd4095a1c0b7f16,Swiss Arabian Casablanca EDP Oil,swiss-arabian-casablanca-edp-oil,Floral-oud. Warm sillage. Signature scent.,3800,bdt,35,0.1,d2a8d0cedfd80ec4d949e494,[],true,false,89a199fab190b1baae00d6e6,fa466a8511f9c519f289bb23,"[""3addf40fde1bd32549a966f8"",""af3f4530ad1ea5b791a67d35"",""0799d87cbaaa3c948b12b2a3"",""0fc9edd678efef71ebe7b61f"",""f91b7f1c2797e6d95139e615"",""fd3d3ae0b3d20868f8726c14"",""4983ec873e91be862c927e95""]",4.3,7,"[{""key"":""Type"",""value"":""Eau de Parfum Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Rose, Saffron, Oud""},{""key"":""Longevity"",""value"":""8+ hours""}]","[""Floral-oud"",""Warm sillage"",""Signature scent""]",,"[{""name"":""Rose"",""hex"":""#e0115f""}]",[],[],false,2026-01-12T10:00:00.000Z,2026-08-15T16:45:41.184Z
7c21dfb732d332cb58a9fd1f,Lattafa Khamrah EDP Oil,lattafa-khamrah-edp-oil,Gourmand. Sweet spice. Bottle-worthy.,4200,bdt,30,0.1,3a9f5e8ae31418b6552c3486,[],true,false,62918f4c58dbaac6a2e2333e,fa466a8511f9c519f289bb23,"[""3912fe538529afe9c4e0d0f4"",""074a49ca1876b2c9d4cfa519""]",5,2,"[{""key"":""Type"",""value"":""Eau de Parfum Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Cinnamon, Dates, Vanilla""},{""key"":""Longevity"",""value"":""10+ hours""}]","[""Gourmand"",""Sweet spice"",""Bottle-worthy""]",,"[{""name"":""Burgundy"",""hex"":""#800020""}]",[],[],false,2026-01-13T10:00:00.000Z,2026-08-15T16:45:41.184Z
c9f069817c0bafd91a2ec16d,Rasasi Mukhallat Malaki Attar,rasasi-mukhallat-malaki-attar,Royal blend. Unisex. Collector's piece.,5500,bdt,18,0.012,9e1918f4fdc104966df92c84,[],true,false,68e03b558bd884b679d9569b,fa466a8511f9c519f289bb23,"[""19eb6aaa1603cede9f98f25e"",""edbbffb448dc28524cf008c1"",""d6a8fc85824b43126a9bed25"",""f71d5e9278eb6a43a3fbbf6d"",""2f965f10ad990b132f48c272""]",4,5,"[{""key"":""Concentration"",""value"":""Pure Attar Oil""},{""key"":""Volume"",""value"":""12ml""},{""key"":""Notes"",""value"":""Rose, Oud, Amber""},{""key"":""Longevity"",""value"":""12+ hours""}]","[""Royal blend"",""Unisex"",""Collector's piece""]",,"[{""name"":""Deep Red"",""hex"":""#8b0000""}]",[],[],false,2026-01-14T10:00:00.000Z,2026-08-15T16:45:41.184Z
542ab9468175c49b90980cb4,Attor Oud Al Layl,attor-oud-al-layl,Night oud. Smoky. Potent.,5999,bdt,0,0.012,9712c026363b0a307c6f5580,[],true,false,bbeeafc3024ff48667c87a2a,fa466a8511f9c519f289bb23,"[""c3672b37c2b89fa2528a7d03"",""e7ce9298522acd5268648ba7"",""a81e73f4ccad844241b04309"",""5629ad4e0448a95d96778370"",""e8667acfd3722b01a44d90b5"",""2907f85be82f4acf8cddce5f"",""bd43b8d3d6b4488b467b80d7"",""eadce2a3dce015cb367e4946""]",4,8,"[{""key"":""Concentration"",""value"":""Pure Attar""},{""key"":""Volume"",""value"":""12ml""},{""key"":""Notes"",""value"":""Cambodian Oud, Smoke, Leather""}]","[""Night oud"",""Smoky"",""Potent""]","{""type"":""percentage"",""value"":10,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Noir"",""hex"":""#1a1a1a""}]","[{""key"":""Size"",""values"":[""6ml"",""12ml"",""30ml""]}]","[{""sku"":""ATTOROUD-6ML-U8PCG4"",""attributes"":{""Size"":""6ml""},""price"":3500,""stock"":20,""imageUrls"":[],""isActive"":true},{""sku"":""ATTOROUD-12ML-RTBC9W"",""attributes"":{""Size"":""12ml""},""price"":5999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ATTOROUD-30ML-33LHDT"",""attributes"":{""Size"":""30ml""},""price"":12999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-01-15T10:00:00.000Z,2026-08-15T16:45:41.184Z
9e87c403eb74db2cd3ae775c,Attor Rose Taifi Attar,attor-rose-taifi-attar,Taif rose. Luxurious. Layered depth.,7499,bdt,0,0.012,d2a8d0cedfd80ec4d949e494,[],true,false,bbeeafc3024ff48667c87a2a,fa466a8511f9c519f289bb23,"[""e398a365b28b252d445d0d77"",""41babe66ba4755d66d4ba0f1"",""12a3b0d8e984c22476575d35""]",3.7,3,"[{""key"":""Concentration"",""value"":""Pure Attar""},{""key"":""Volume"",""value"":""12ml""},{""key"":""Notes"",""value"":""Taif Rose, Saffron, Musk""}]","[""Taif rose"",""Luxurious"",""Layered depth""]",,"[{""name"":""Rose Gold"",""hex"":""#b76e79""}]","[{""key"":""Size"",""values"":[""6ml"",""12ml"",""30ml""]}]","[{""sku"":""ATTORROS-6ML-EE3HSE"",""attributes"":{""Size"":""6ml""},""price"":4500,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORROS-12ML-ZPHRFH"",""attributes"":{""Size"":""12ml""},""price"":7499,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""ATTORROS-30ML-EJT4PH"",""attributes"":{""Size"":""30ml""},""price"":15999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-01-16T10:00:00.000Z,2026-08-15T16:45:41.184Z
dbf562f89d143529b12cff60,Al Haramain Oudh Mukhallat,al-haramain-oudh-mukhallat,Classic mukhallat. Rich. Iconic.,7999,bdt,0,0.1,9712c026363b0a307c6f5580,[],true,false,13e9fb645b07c07308d38f63,fa466a8511f9c519f289bb23,"[""cb691ad8ac2117f1947bd561"",""1bcfba05edbd0013e278c5c8"",""6cfedc6bb110546c91583941"",""d72e99ce31fd32194794fe5a"",""d814b0773921d34941c6c8b7"",""e00c2a5dcb364e30a6bacb5c""]",4,6,"[{""key"":""Type"",""value"":""Perfume Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Oud, Rose, Sandalwood""}]","[""Classic mukhallat"",""Rich"",""Iconic""]",,"[{""name"":""Emerald"",""hex"":""#046307""}]","[{""key"":""Size"",""values"":[""50ml"",""100ml""]}]","[{""sku"":""ALHARAMA-50ML-BA82TX"",""attributes"":{""Size"":""50ml""},""price"":5000,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ALHARAMA-100ML-XMG6SU"",""attributes"":{""Size"":""100ml""},""price"":7999,""stock"":10,""imageUrls"":[],""isActive"":true}]",true,2026-02-10T10:00:00.000Z,2026-08-15T16:45:41.184Z
7dd0c843e35712373f49ef62,Al Haramain Oudh Al Sheikh,al-haramain-oudh-al-sheikh,Sheikh grade. Dark oud. Prestigious.,6999,bdt,0,0.1,9712c026363b0a307c6f5580,[],true,false,13e9fb645b07c07308d38f63,fa466a8511f9c519f289bb23,"[""b10a51fab31252a9e522aded""]",3,1,"[{""key"":""Type"",""value"":""Perfume Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Cambodian Oud, Rose, Amber""}]","[""Sheikh grade"",""Dark oud"",""Prestigious""]",,"[{""name"":""Obsidian"",""hex"":""#2f2f33""}]","[{""key"":""Size"",""values"":[""50ml"",""100ml""]}]","[{""sku"":""ALHARAMA-50ML-JNLMBH"",""attributes"":{""Size"":""50ml""},""price"":4300,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""ALHARAMA-100ML-J7HWNP"",""attributes"":{""Size"":""100ml""},""price"":6999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-02-11T10:00:00.000Z,2026-08-15T16:45:41.184Z
9f996cc38e1b562674dac312,Swiss Arabian Shaghaf Oud,swiss-arabian-shaghaf-oud,Vanilla-oud. Sweet. Modern classic.,7200,bdt,0,0.1,9712c026363b0a307c6f5580,[],true,false,89a199fab190b1baae00d6e6,fa466a8511f9c519f289bb23,"[""1543561ec4e307f36512a0b9"",""5b1e7863ccad45229015736c"",""81cbf636ee32d43a8e726a83"",""b735e2b6f4404ea1c29bbd1c""]",4.3,4,"[{""key"":""Type"",""value"":""Eau de Parfum Oil""},{""key"":""Volume"",""value"":""100ml""},{""key"":""Notes"",""value"":""Oud, Vanilla, Saffron""}]","[""Vanilla-oud"",""Sweet"",""Modern classic""]",,"[{""name"":""Amethyst"",""hex"":""#9966cc""}]","[{""key"":""Size"",""values"":[""50ml"",""100ml""]}]","[{""sku"":""SWISSARA-50ML-KJMNQ4"",""attributes"":{""Size"":""50ml""},""price"":4500,""stock"":14,""imageUrls"":[],""isActive"":true},{""sku"":""SWISSARA-100ML-TBN6UP"",""attributes"":{""Size"":""100ml""},""price"":7200,""stock"":9,""imageUrls"":[],""isActive"":true}]",true,2026-02-12T10:00:00.000Z,2026-08-15T16:45:41.184Z
