_id,name,slug,description,price,currency,stock,weight,category,imageUrls,isActive,isDeleted,brand,createdBy,reviews,averageRating,ratingCount,specification,keyFeatures,offerPrice,colorOptions,attributes,variants,hasVariants,createdAt,updatedAt
9e66e7df58f1511913f59563,Solemate Everyday Running Shoe,solemate-everyday-running-shoe,Cushioned. Breathable. Daily trainer.,3499,bdt,50,0.65,c74bf9b84bd0b5b23e43763d,[],true,false,782564385622539340d66b48,1777596c921a22beeb2e662a,"[""b40ef2d8fb4db5984d182277""]",5,1,"[{""key"":""Upper"",""value"":""Breathable mesh""},{""key"":""Sole"",""value"":""EVA foam""},{""key"":""Drop"",""value"":""8mm""},{""key"":""Weight"",""value"":""255g""}]","[""Cushioned"",""Breathable"",""Daily trainer""]",,"[{""name"":""Grey"",""hex"":""#808080""}]",[],[],false,2026-01-10T10:00:00.000Z,2026-08-15T16:45:41.290Z
bd08686d3909eb3e7922f194,Bata Formal Oxford,bata-formal-oxford,Genuine leather. Office-ready. Comfort insole.,3999,bdt,30,0.8,06fec85f802939e438400a02,[],true,false,2bd09e1a1105c49cf61a7bfb,1777596c921a22beeb2e662a,"[""7f9dca421fff7c7198bee28d"",""acd0e1fbf3c6b9759fc21dcc"",""95f7bdcd37b8fb676e933b2e"",""7f2f632e8dd4142f3052a9b9""]",5,4,"[{""key"":""Upper"",""value"":""Leather""},{""key"":""Sole"",""value"":""PU""},{""key"":""Lining"",""value"":""Textile""},{""key"":""Closure"",""value"":""Lace""}]","[""Genuine leather"",""Office-ready"",""Comfort insole""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""}]",[],[],false,2026-01-11T10:00:00.000Z,2026-08-15T16:45:41.290Z
a00ae7f1fe671c8ae14d75ef,Solemate Slide Sandal,solemate-slide-sandal,Ultra-light. Water-friendly. Durable.,899,bdt,80,0.25,3c4db8158d5a296de0194339,[],true,false,782564385622539340d66b48,1777596c921a22beeb2e662a,"[""ececc8da868f6b8b1d3b204b"",""6db6a457170432577a2bc6da"",""0e7ff99bf859fed123346af2"",""7b528779b5555e53c6bd9228"",""c1db4d5b55de71c2e3892a1b"",""79d70f090591f55473a91f12"",""4e5553ce6c2e5fea5f66c1b1""]",4.3,7,"[{""key"":""Upper"",""value"":""EVA""},{""key"":""Sole"",""value"":""EVA""},{""key"":""Style"",""value"":""Slide""},{""key"":""Water"",""value"":""Water-friendly""}]","[""Ultra-light"",""Water-friendly"",""Durable""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""}]",[],[],false,2026-01-12T10:00:00.000Z,2026-08-15T16:45:41.290Z
007cae206bd46d9b3dae1d25,Puma Court Classic Sneaker,puma-court-classic-sneaker,Retro court. Leather upper. Cushioned.,5999,bdt,25,0.7,cf15bcd5dec1718a2f1857f7,[],true,false,4f8ebf449d2c098e0ad2eb2b,1777596c921a22beeb2e662a,"[""73b1617a67c403094592a7ea"",""b1e473957af295a67ccf6b93""]",5,2,"[{""key"":""Upper"",""value"":""Leather""},{""key"":""Sole"",""value"":""Rubber""},{""key"":""Style"",""value"":""Court""},{""key"":""Origin"",""value"":""1960s classic""}]","[""Retro court"",""Leather upper"",""Cushioned""]",,"[{""name"":""White"",""hex"":""#ffffff""}]",[],[],false,2026-01-13T10:00:00.000Z,2026-08-15T16:45:41.290Z
5876437c158210a59f30007e,Bata School Shoe,bata-school-shoe,Hard-wearing. Easy clean. School approved.,1499,bdt,100,0.6,06fec85f802939e438400a02,[],true,false,2bd09e1a1105c49cf61a7bfb,1777596c921a22beeb2e662a,"[""4cee4daf9236b53c4491d9ca"",""5a35108f6b6afbe40ccb3d16"",""ea81b38f90f71d23cfa5ee20"",""94d0d9629be510dcdb29b5a1"",""2ed71624e846216d301ba1ea""]",4,5,"[{""key"":""Upper"",""value"":""Synthetic""},{""key"":""Sole"",""value"":""Rubber""},{""key"":""Closure"",""value"":""Lace + strap""},{""key"":""Age"",""value"":""6-12 years""}]","[""Hard-wearing"",""Easy clean"",""School approved""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""}]",[],[],false,2026-01-14T10:00:00.000Z,2026-08-15T16:45:41.290Z
c104c86761f02bbbfe584fff,Nike Revolution 6,nike-revolution-6,Soft foam. Breathable. Everyday run.,6999,bdt,0,0.62,c74bf9b84bd0b5b23e43763d,[],true,false,4eb9533b373378f90ee0fab2,1777596c921a22beeb2e662a,"[""e76ad6378dec2b906fc29c60"",""dc85b6cb47c2f66a0412a9cb"",""3451a2eefb10f12429ae8dc2"",""99baea19e8424c8255f2ea90"",""47f47309fe4bc9bf76deb9a7"",""0f4a54874bdd374302d6e7f2"",""ba9c3373b8b0f85796d9cec5"",""89e0d8e074288a3bd3174d73""]",4,8,"[{""key"":""Upper"",""value"":""Mesh""},{""key"":""Sole"",""value"":""Foam""},{""key"":""Drop"",""value"":""9mm""}]","[""Soft foam"",""Breathable"",""Everyday run""]","{""type"":""percentage"",""value"":10,""startAt"":""2026-08-01T00:00:00.000Z"",""endAt"":""2026-08-31T23:59:59.000Z"",""isActive"":true}","[{""name"":""Black"",""hex"":""#1a1a1a""},{""name"":""White"",""hex"":""#ffffff""},{""name"":""Red"",""hex"":""#c62828""}]","[{""key"":""Size"",""values"":[""40"",""41"",""42"",""43""]},{""key"":""Color"",""values"":[""Black"",""White"",""Red""]}]","[{""sku"":""NIKEREVO-41-BLACK-KT9RWF"",""attributes"":{""Size"":""41"",""Color"":""Black""},""price"":6999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEREVO-42-BLACK-FWW36P"",""attributes"":{""Size"":""42"",""Color"":""Black""},""price"":6999,""stock"":18,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEREVO-41-WHITE-6LCYEY"",""attributes"":{""Size"":""41"",""Color"":""White""},""price"":6999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEREVO-43-RED-CZRR9R"",""attributes"":{""Size"":""43"",""Color"":""Red""},""price"":6999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-01-15T10:00:00.000Z,2026-08-15T16:45:41.290Z
19b0802c69d3307e400868dc,Nike Air Max 270,nike-air-max-270,Air cushioning. Iconic look. Lifestyle.,15999,bdt,0,0.68,cf15bcd5dec1718a2f1857f7,[],true,false,4eb9533b373378f90ee0fab2,1777596c921a22beeb2e662a,"[""4a38e2e8e226d5029524d838"",""577e53219bed139d47acab52"",""437be82d26e51aab0596ed67""]",3.7,3,"[{""key"":""Upper"",""value"":""Mesh + synthetic""},{""key"":""Sole"",""value"":""Air Max unit""},{""key"":""Heel"",""value"":""32mm""}]","[""Air cushioning"",""Iconic look"",""Lifestyle""]",,"[{""name"":""Black"",""hex"":""#1a1a1a""},{""name"":""White"",""hex"":""#ffffff""}]","[{""key"":""Size"",""values"":[""40"",""41"",""42"",""43""]},{""key"":""Color"",""values"":[""Black"",""White""]}]","[{""sku"":""NIKEAIRM-41-BLACK-2SZX32"",""attributes"":{""Size"":""41"",""Color"":""Black""},""price"":15999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEAIRM-42-BLACK-T8PZX2"",""attributes"":{""Size"":""42"",""Color"":""Black""},""price"":15999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEAIRM-41-WHITE-Y5PGRU"",""attributes"":{""Size"":""41"",""Color"":""White""},""price"":15999,""stock"":8,""imageUrls"":[],""isActive"":true},{""sku"":""NIKEAIRM-43-WHITE-MBKK39"",""attributes"":{""Size"":""43"",""Color"":""White""},""price"":15999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-01-16T10:00:00.000Z,2026-08-15T16:45:41.290Z
a71b4a20b542f975ac9d65f6,Adidas Ultraboost 22,adidas-ultraboost-22,Boost energy. Primeknit. Marathon-ready.,18999,bdt,0,0.65,c74bf9b84bd0b5b23e43763d,[],true,false,88ada25a7db97c3f7c7b31a2,1777596c921a22beeb2e662a,"[""5f91d72114199e16b007aee2"",""ec454737401091c2b8c3bb3f"",""98dfa40847be926e80b20abc"",""a1a1726e897e2d869afa12dc"",""6f4ef17d9a9ac49733557689"",""d4e965032a04dee918536d64""]",4,6,"[{""key"":""Upper"",""value"":""Primeknit""},{""key"":""Sole"",""value"":""Boost""},{""key"":""Drop"",""value"":""10mm""}]","[""Boost energy"",""Primeknit"",""Marathon-ready""]",,"[{""name"":""Core Black"",""hex"":""#1a1a1a""},{""name"":""Cloud White"",""hex"":""#f5f5f5""}]","[{""key"":""Size"",""values"":[""40"",""41"",""42"",""43""]},{""key"":""Color"",""values"":[""Core Black"",""Cloud White""]}]","[{""sku"":""ADIDASUL-41-COREBL-EWTY6S"",""attributes"":{""Size"":""41"",""Color"":""Core Black""},""price"":18999,""stock"":8,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASUL-42-COREBL-73PLM5"",""attributes"":{""Size"":""42"",""Color"":""Core Black""},""price"":18999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASUL-41-CLOUDW-HUJEHF"",""attributes"":{""Size"":""41"",""Color"":""Cloud White""},""price"":18999,""stock"":6,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASUL-43-COREBL-BV32PG"",""attributes"":{""Size"":""43"",""Color"":""Core Black""},""price"":18999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-02-10T10:00:00.000Z,2026-08-15T16:45:41.290Z
c62fe2ae2f3f2a26ad7163c2,Adidas Superstar,adidas-superstar,Shell toe. Leather. Street legend.,9999,bdt,0,0.75,cf15bcd5dec1718a2f1857f7,[],true,false,88ada25a7db97c3f7c7b31a2,1777596c921a22beeb2e662a,"[""c62253b7f2ff3267e0123a90""]",3,1,"[{""key"":""Upper"",""value"":""Leather""},{""key"":""Sole"",""value"":""Rubber shell toe""},{""key"":""Style"",""value"":""Classic""}]","[""Shell toe"",""Leather"",""Street legend""]",,"[{""name"":""White"",""hex"":""#ffffff""},{""name"":""Black"",""hex"":""#1a1a1a""}]","[{""key"":""Size"",""values"":[""40"",""41"",""42""]},{""key"":""Color"",""values"":[""White"",""Black""]}]","[{""sku"":""ADIDASSU-41-WHITE-3J2QSB"",""attributes"":{""Size"":""41"",""Color"":""White""},""price"":9999,""stock"":15,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASSU-42-WHITE-7KVTHZ"",""attributes"":{""Size"":""42"",""Color"":""White""},""price"":9999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASSU-41-BLACK-MLT437"",""attributes"":{""Size"":""41"",""Color"":""Black""},""price"":9999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""ADIDASSU-42-BLACK-7WPEEG"",""attributes"":{""Size"":""42"",""Color"":""Black""},""price"":9999,""stock"":8,""imageUrls"":[],""isActive"":true}]",true,2026-02-11T10:00:00.000Z,2026-08-15T16:45:41.290Z
027eb90853c932d1ac7a20a0,Puma RS-X,puma-rs-x,Chunky silhouette. RS cushioning. 90s vibes.,11999,bdt,0,0.7,cf15bcd5dec1718a2f1857f7,[],true,false,4f8ebf449d2c098e0ad2eb2b,1777596c921a22beeb2e662a,"[""ac9d089d79775a5ac50c90dc"",""8dd086b3ef2d9f0402a5d66c"",""399f0dd60e3e7155de6eb671"",""8d8898634d693b59c10758b2""]",4.3,4,"[{""key"":""Upper"",""value"":""Mesh + suede""},{""key"":""Sole"",""value"":""RS foam""},{""key"":""Style"",""value"":""Chunky""}]","[""Chunky silhouette"",""RS cushioning"",""90s vibes""]",,"[{""name"":""White"",""hex"":""#ffffff""},{""name"":""Black"",""hex"":""#1a1a1a""},{""name"":""Multi"",""hex"":""#d9c9a3""}]","[{""key"":""Size"",""values"":[""40"",""41"",""42""]},{""key"":""Color"",""values"":[""White"",""Black"",""Multi""]}]","[{""sku"":""PUMARSX-41-WHITE-LQFPQ6"",""attributes"":{""Size"":""41"",""Color"":""White""},""price"":11999,""stock"":10,""imageUrls"":[],""isActive"":true},{""sku"":""PUMARSX-42-WHITE-7RVJFR"",""attributes"":{""Size"":""42"",""Color"":""White""},""price"":11999,""stock"":12,""imageUrls"":[],""isActive"":true},{""sku"":""PUMARSX-41-BLACK-3TY9Z6"",""attributes"":{""Size"":""41"",""Color"":""Black""},""price"":11999,""stock"":8,""imageUrls"":[],""isActive"":true},{""sku"":""PUMARSX-42-MULTI-J3XCLB"",""attributes"":{""Size"":""42"",""Color"":""Multi""},""price"":11999,""stock"":5,""imageUrls"":[],""isActive"":true}]",true,2026-02-12T10:00:00.000Z,2026-08-15T16:45:41.290Z
